Agent 1,Agent 2,Agent 3,Agent 4,Agent 5
500.0,41.0,101.0,73.0,77.0
438.0,16.0,105.0,53.0,36.0
500.0,16.0,125.0,14.0,29.0
500.0,31.0,130.0,85.0,37.0
500.0,14.0,145.0,33.0,77.0
500.0,42.0,147.0,30.0,23.0
500.0,18.0,168.0,27.0,50.0
491.0,19.0,500.0,15.0,54.0
500.0,19.0,500.0,60.0,49.0
500.0,24.0,500.0,105.0,13.0
500.0,12.0,500.0,112.0,93.0
500.0,12.0,500.0,17.0,44.0
500.0,20.0,500.0,60.0,55.0
500.0,18.0,500.0,63.0,23.0
500.0,28.0,500.0,143.0,29.0
500.0,15.0,500.0,145.0,76.0
500.0,21.0,500.0,48.0,89.0
500.0,30.0,500.0,128.0,77.0
500.0,31.0,500.0,127.0,104.0
270.0,12.0,500.0,125.0,104.0
215.0,17.0,500.0,42.0,62.0
500.0,27.0,500.0,51.0,89.0
500.0,60.0,500.0,49.0,48.0
500.0,13.0,500.0,140.0,25.0
500.0,15.0,500.0,89.0,59.0
429.0,17.0,500.0,15.0,49.0
500.0,20.0,500.0,143.0,13.0
500.0,40.0,500.0,126.0,29.0
500.0,21.0,500.0,88.0,28.0
500.0,40.0,500.0,41.0,35.0
500.0,15.0,500.0,74.0,64.0
500.0,14.0,500.0,29.0,18.0
500.0,15.0,500.0,17.0,140.0
314.0,24.0,500.0,115.0,24.0
500.0,10.0,500.0,47.0,141.0
500.0,27.0,500.0,123.0,73.0
500.0,36.0,500.0,21.0,116.0
310.0,15.0,500.0,143.0,67.0
405.0,17.0,500.0,25.0,21.0
500.0,32.0,500.0,34.0,31.0
500.0,24.0,500.0,107.0,45.0
394.0,21.0,500.0,35.0,31.0
500.0,29.0,500.0,71.0,77.0
329.0,31.0,500.0,24.0,65.0
500.0,21.0,500.0,83.0,86.0
500.0,31.0,500.0,53.0,84.0
500.0,13.0,500.0,51.0,37.0
500.0,17.0,500.0,91.0,130.0
500.0,15.0,500.0,194.0,16.0
500.0,21.0,500.0,25.0,102.0
500.0,13.0,500.0,137.0,134.0
500.0,26.0,500.0,28.0,52.0
500.0,19.0,500.0,27.0,21.0
500.0,29.0,500.0,100.0,33.0
383.0,13.0,500.0,66.0,30.0
500.0,14.0,500.0,35.0,76.0
500.0,13.0,500.0,121.0,78.0
500.0,32.0,500.0,98.0,66.0
500.0,15.0,500.0,35.0,32.0
500.0,30.0,500.0,111.0,62.0
500.0,52.0,500.0,25.0,92.0
500.0,18.0,500.0,86.0,59.0
500.0,47.0,500.0,139.0,36.0
500.0,21.0,300.0,112.0,21.0
500.0,53.0,500.0,168.0,30.0
500.0,19.0,500.0,82.0,100.0
500.0,65.0,500.0,118.0,38.0
500.0,24.0,500.0,65.0,47.0
440.0,10.0,500.0,76.0,46.0
500.0,18.0,500.0,119.0,91.0
500.0,15.0,500.0,96.0,100.0
500.0,31.0,500.0,84.0,42.0
500.0,38.0,500.0,149.0,27.0
500.0,56.0,500.0,85.0,119.0
500.0,9.0,500.0,103.0,28.0
500.0,31.0,500.0,116.0,96.0
500.0,31.0,500.0,123.0,137.0
500.0,15.0,500.0,138.0,71.0
500.0,17.0,500.0,24.0,51.0
463.0,20.0,500.0,84.0,24.0
500.0,31.0,500.0,31.0,87.0
500.0,16.0,500.0,41.0,43.0
442.0,12.0,500.0,47.0,97.0
500.0,27.0,500.0,149.0,34.0
149.0,9.0,500.0,70.0,96.0
